Distance_(cm),Gray_Value
0.00000,49.000
0.00667,49.000
0.01334,47.127
0.02000,47.000
0.02667,47.006
0.03334,47.758
0.04001,48.510
0.04667,49.261
0.05334,50.000
0.06001,50.000
0.06668,47.955
0.07335,47.000
0.08001,47.618
0.08668,48.586
0.09335,49.554
0.10002,51.045
0.10668,52.000
0.11335,52.459
0.12002,52.146
0.12669,51.000
0.13336,51.000
0.14002,51.000
0.14669,51.000
0.15336,51.000
0.16003,51.000
0.16669,51.000
0.17336,50.312
0.18003,47.000
0.18670,47.000
0.19337,47.000
0.20003,47.000
0.20670,47.000
0.21337,47.000
0.22004,47.000
0.22670,47.000
0.23337,49.656
0.24004,49.956
0.24671,49.904
0.25337,51.643
0.26004,55.030
0.26671,60.307
0.27338,63.726
0.28005,66.401
0.28671,63.945
0.29338,61.476
0.30005,60.212
0.30672,58.143
0.31338,55.570
0.32005,52.383
0.32672,50.196
0.33339,49.083
0.34006,47.578
0.34672,45.627
0.35339,47.186
0.36006,49.414
0.36673,52.370
0.37339,54.813
0.38006,57.305
0.38673,59.218
0.39340,61.562
0.40007,71.322
0.40673,70.369
0.41340,67.981
0.42007,63.413
0.42674,58.561
0.43340,52.767
0.44007,47.564
0.44674,44.262
0.45341,44.312
0.46008,45.297
0.46674,44.473
0.47341,40.758
0.48008,38.549
0.48675,39.975
0.49341,43.377
0.50008,46.415
0.50675,48.625
0.51342,49.969
0.52009,57.189
0.52675,68.855
0.53342,79.337
0.54009,85.436
0.54676,83.438
0.55342,78.080
0.56009,71.814
0.56676,68.290
0.57343,69.343
0.58010,61.501
0.58676,49.890
0.59343,41.208
0.60010,38.002
0.60677,38.841
0.61343,40.318
0.62010,34.406
0.62677,35.131
0.63344,37.075
0.64011,38.570
0.64677,41.337
0.65344,43.376
0.66011,44.963
0.66678,48.081
0.67344,60.083
0.68011,74.059
0.68678,89.497
0.69345,101.525
0.70012,100.501
0.70678,93.517
0.71345,84.072
0.72012,76.609
0.72679,60.458
0.73345,48.129
0.74012,47.587
0.74679,45.619
0.75346,43.372
0.76013,42.044
0.76679,42.705
0.77346,44.425
0.78013,48.380
0.78680,55.523
0.79346,56.530
0.80013,57.059
0.80680,57.962
0.81347,60.792
0.82013,65.133
0.82680,69.726
0.83347,74.015
0.84014,57.773
0.84681,57.740
0.85347,55.811
0.86014,53.315
0.86681,50.834
0.87348,48.152
0.88014,44.865
0.88681,44.775
0.89348,46.725
0.90015,47.080
0.90682,45.837
0.91348,45.012
0.92015,45.751
0.92682,48.053
0.93349,51.007
0.94015,53.624
0.94682,54.117
0.95349,53.867
0.96016,53.892
0.96683,53.926
0.97349,53.960
0.98016,53.712
0.98683,52.932
0.99350,52.983
1.00016,52.725
1.00683,48.079
1.01350,47.023
1.02017,46.873
1.02684,46.000
1.03350,45.936
1.04017,45.000
1.04684,45.000
1.05351,44.032
1.06017,48.682
1.06684,49.000
1.07351,49.000
1.08018,49.000
1.08685,49.000
1.09351,49.000
1.10018,49.000
1.10685,49.000
1.11352,49.110
1.12018,49.000
1.12685,49.000
1.13352,49.000
1.14019,49.000
1.14686,49.000
1.15352,49.000
1.16019,49.000
1.16686,47.862
1.17353,46.333
1.18019,46.696
1.18686,47.333
1.19353,47.633
1.20020,48.333
1.20687,48.726
1.21353,50.000
1.22020,50.203
1.22687,51.445
1.23354,52.174
1.24020,53.971
1.24687,55.561
1.25354,56.779
1.26021,57.998
1.26688,59.533
1.27354,59.851
1.28021,57.356
