Distance_(cm),Gray_Value
0.0000,40.333
0.0066,40.333
0.0132,43.139
0.0198,43.333
0.0264,43.333
0.0329,43.333
0.0395,43.333
0.0461,43.333
0.0527,43.333
0.0593,43.333
0.0659,41.306
0.0725,40.333
0.0791,40.333
0.0857,40.333
0.0923,40.333
0.0988,40.333
0.1054,40.374
0.1120,40.627
0.1186,41.194
0.1252,41.468
0.1318,41.556
0.1384,41.649
0.1450,41.418
0.1516,41.428
0.1582,41.333
0.1647,41.333
0.1713,41.333
0.1779,41.333
0.1845,41.333
0.1911,41.333
0.1977,41.333
0.2043,41.333
0.2109,41.333
0.2175,41.333
0.2241,41.333
0.2306,39.603
0.2372,40.166
0.2438,41.134
0.2504,42.101
0.2570,43.069
0.2636,44.036
0.2702,45.004
0.2768,45.972
0.2834,45.122
0.2900,44.333
0.2965,44.333
0.3031,44.333
0.3097,44.333
0.3163,44.456
0.3229,44.709
0.3295,44.961
0.3361,45.519
0.3427,46.333
0.3493,46.333
0.3559,46.333
0.3624,46.333
0.3690,46.333
0.3756,46.333
0.3822,46.333
0.3888,46.072
0.3954,43.333
0.4020,43.333
0.4086,43.333
0.4152,43.333
0.4218,43.333
0.4283,43.333
0.4349,43.333
0.4415,43.333
0.4481,46.653
0.4547,47.760
0.4613,48.013
0.4679,48.265
0.4745,48.518
0.4811,48.770
0.4877,49.023
0.4942,49.275
0.5008,46.654
0.5074,44.333
0.5140,44.333
0.5206,44.333
0.5272,44.538
0.5338,44.791
0.5404,45.043
0.5470,45.296
0.5536,44.780
0.5601,43.577
0.5667,44.373
0.5733,44.707
0.5799,46.480
0.5865,47.448
0.5931,48.415
0.5997,49.333
0.6063,49.402
0.6129,53.272
0.6194,53.333
0.6260,52.414
0.6326,51.446
0.6392,49.623
0.6458,48.511
0.6524,47.543
0.6590,47.333
0.6656,46.366
0.6722,46.000
0.6788,46.000
0.6853,46.000
0.6919,46.000
0.6985,46.000
0.7051,46.000
0.7117,46.000
0.7183,49.042
0.7249,52.782
0.7315,53.062
0.7381,54.177
0.7447,56.598
0.7512,59.816
0.7578,63.498
0.7644,64.942
0.7710,63.086
0.7776,54.000
0.7842,53.858
0.7908,52.891
0.7974,51.846
0.8040,49.956
0.8106,48.988
0.8171,48.020
0.8237,48.000
0.8303,51.334
0.8369,52.075
0.8435,52.328
0.8501,52.580
0.8567,52.833
0.8633,53.085
0.8699,53.338
0.8765,53.590
0.8830,55.809
0.8896,57.096
0.8962,56.758
0.9028,56.043
0.9094,54.802
0.9160,53.613
0.9226,52.898
0.9292,52.349
0.9358,50.416
0.9424,47.795
0.9489,47.737
0.9555,48.129
0.9621,48.621
0.9687,49.000
0.9753,49.000
0.9819,49.000
0.9885,48.727
0.9951,47.000
1.0017,47.000
1.0083,47.000
1.0148,47.000
1.0214,47.000
1.0280,47.000
1.0346,47.000
1.0412,47.000
1.0478,48.689
1.0544,49.000
1.0610,49.000
1.0676,49.000
1.0742,49.000
1.0807,49.000
1.0873,49.000
1.0939,49.000
1.1005,47.244
1.1071,46.000
1.1137,46.000
1.1203,46.000
1.1269,46.000
1.1335,46.000
1.1401,46.000
1.1466,46.000
1.1532,47.373
1.1598,49.549
1.1664,49.297
1.1730,49.044
1.1796,49.000
1.1862,49.000
1.1928,49.000
1.1994,49.000
1.2060,48.800
1.2125,46.000
1.2191,46.000
1.2257,46.000
1.2323,46.000
1.2389,46.000
1.2455,46.000
1.2521,46.000
1.2587,46.000
1.2653,48.324
1.2718,49.000
1.2784,49.000
1.2850,49.000
1.2916,49.000
1.2982,49.000
1.3048,49.000
1.3114,49.000
1.3180,50.810
1.3246,52.765
1.3312,52.549
1.3377,51.582
1.3443,50.430
1.3509,49.422
1.3575,48.770
1.3641,48.912
1.3707,49.084
1.3773,46.645
1.3839,46.000
1.3905,46.159
1.3971,47.126
1.4036,48.000
1.4102,48.061
1.4168,49.000
1.4234,49.000
1.4300,56.713
1.4366,57.000
1.4432,57.000
1.4498,57.000
1.4564,57.000
1.4630,57.000
1.4695,57.000
1.4761,57.000
1.4827,54.058
1.4893,53.104
1.4959,52.691
1.5025,51.976
1.5091,51.261
1.5157,50.546
1.5223,49.831
1.5289,49.116
1.5354,52.341
1.5420,57.099
1.5486,57.732
1.5552,58.952
1.5618,60.488
1.5684,62.205
1.5750,63.342
1.5816,64.749
1.5882,66.168
1.5948,68.592
1.6013,66.713
1.6079,64.109
1.6145,60.947
1.6211,57.931
1.6277,55.405
1.6343,53.717
1.6409,52.961
1.6475,47.083
1.6541,46.333
1.6607,47.163
1.6672,48.130
1.6738,49.198
1.6804,51.066
1.6870,51.770
1.6936,52.606
1.7002,58.078
1.7068,61.249
1.7134,62.235
1.7200,63.412
1.7266,64.762
1.7331,66.519
1.7397,68.468
1.7463,69.921
1.7529,66.816
1.7595,60.375
1.7661,59.065
1.7727,57.104
1.7793,55.036
1.7859,52.726
1.7925,51.171
1.7990,49.912
1.8056,49.387
1.8122,51.333
1.8188,51.385
1.8254,52.352
1.8320,53.320
1.8386,54.287
1.8452,56.176
1.8518,56.333
1.8583,57.190
1.8649,54.716
1.8715,53.306
1.8781,52.553
1.8847,51.902
1.8913,51.123
1.8979,50.408
1.9045,49.693
1.9111,49.576
1.9177,47.854
1.9242,46.333
1.9308,46.333
1.9374,46.333
1.9440,46.333
1.9506,46.333
1.9572,46.333
1.9638,46.333
1.9704,47.148
1.9770,49.000
1.9836,49.041
1.9901,49.546
1.9967,50.051
2.0033,50.556
2.0099,51.000
2.0165,51.000
2.0231,50.954
2.0297,50.000
2.0363,50.000
2.0429,50.000
2.0495,50.000
2.0560,50.000
2.0626,50.000
2.0692,50.000
2.0758,50.000
2.0824,47.737
2.0890,47.000
2.0956,47.689
2.1022,48.657
2.1088,49.625
2.1154,51.184
2.1219,52.000
2.1285,52.527
2.1351,52.010
2.1417,51.000
2.1483,51.000
2.1549,51.000
2.1615,51.000
2.1681,51.000
2.1747,51.000
2.1813,51.000
2.1878,50.058
2.1944,47.000
2.2010,47.061
2.2076,47.608
2.2142,47.951
2.2208,49.000
2.2274,49.041
2.2340,50.000
2.2406,50.000
2.2472,49.636
2.2537,52.358
2.2603,55.822
2.2669,60.043
2.2735,64.951
2.2801,69.617
2.2867,72.746
2.2933,75.652
2.2999,71.357
2.3065,69.351
2.3131,68.285
2.3196,66.477
2.3262,63.909
2.3328,61.319
2.3394,59.173
2.3460,57.930
2.3526,54.195
2.3592,49.476
2.3658,50.776
2.3724,52.778
2.3790,55.448
2.3855,57.902
2.3921,60.058
2.3987,62.130
2.4053,66.822
2.4119,80.603
2.4185,80.693
2.4251,82.603
2.4317,83.215
2.4383,80.771
2.4448,75.831
2.4514,72.137
2.4580,72.034
2.4646,57.444
2.4712,51.560
2.4778,46.633
2.4844,42.258
2.4910,39.980
2.4976,41.997
2.5042,45.889
2.5107,49.197
2.5173,45.918
2.5239,55.919
2.5305,82.957
2.5371,112.994
2.5437,135.787
2.5503,146.650
2.5569,147.629
2.5635,143.433
2.5701,142.355
2.5766,141.094
2.5832,129.942
2.5898,110.924
2.5964,90.237
2.6030,69.257
2.6096,47.736
2.6162,33.433
2.6228,28.939
2.6294,50.912
2.6360,55.982
2.6425,55.759
2.6491,59.081
2.6557,66.265
2.6623,77.454
2.6689,89.291
2.6755,98.573
2.6821,122.452
2.6887,132.705
2.6953,134.597
2.7019,133.649
2.7084,127.810
2.7150,116.481
2.7216,106.096
2.7282,99.448
2.7348,81.140
2.7414,64.682
2.7480,58.520
2.7546,50.249
2.7612,43.549
2.7678,41.484
2.7743,44.456
2.7809,49.683
2.7875,56.001
2.7941,62.025
2.8007,64.245
2.8073,69.476
2.8139,76.814
2.8205,85.806
2.8271,98.879
2.8337,117.846
2.8402,136.454
2.8468,112.542
2.8534,102.623
2.8600,86.178
2.8666,68.429
2.8732,56.663
2.8798,50.648
2.8864,48.655
2.8930,48.058
2.8996,49.358
2.9061,49.237
2.9127,48.283
2.9193,47.330
2.9259,48.042
2.9325,50.604
2.9391,53.939
2.9457,57.491
2.9523,60.551
2.9589,63.159
2.9655,63.879
2.9720,63.621
2.9786,63.291
2.9852,62.507
2.9918,62.044
2.9984,61.726
3.0050,58.931
3.0116,48.151
3.0182,47.283
3.0248,46.882
3.0313,46.576
3.0379,46.966
3.0445,47.034
3.0511,46.881
3.0577,47.003
3.0643,48.846
3.0709,49.000
3.0775,49.000
3.0841,49.000
3.0907,49.000
3.0972,49.000
3.1038,49.000
3.1104,49.000
3.1170,49.000
3.1236,49.000
3.1302,49.000
3.1368,49.000
3.1434,49.000
3.1500,49.000
3.1566,49.000
3.1631,49.000
3.1697,47.922
3.1763,46.333
3.1829,46.673
3.1895,47.333
3.1961,47.608
3.2027,48.333
3.2093,48.683
3.2159,50.000
3.2225,50.556
3.2290,54.115
3.2356,54.475
3.2422,57.555
3.2488,61.313
3.2554,66.785
3.2620,73.452
3.2686,75.539
3.2752,77.249
3.2818,68.805
3.2884,67.137
3.2949,65.591
3.3015,62.275
3.3081,59.347
3.3147,56.399
3.3213,53.454
3.3279,52.623
3.3345,53.882
3.3411,47.435
3.3477,43.357
3.3543,51.155
3.3608,58.884
3.3674,59.699
3.3740,70.280
3.3806,100.738
3.3872,135.541
3.3938,156.024
3.4004,154.662
3.4070,148.392
3.4136,138.106
3.4202,125.481
3.4267,111.324
3.4333,100.834
3.4399,94.183
3.4465,67.176
3.4531,61.188
3.4597,50.250
3.4663,42.649
3.4729,38.891
3.4795,41.573
3.4861,49.653
3.4926,57.306
3.4992,102.048
3.5058,135.239
3.5124,169.484
3.5190,186.583
3.5256,182.146
3.5322,170.098
3.5388,168.193
3.5454,177.865
3.5520,182.996
3.5585,172.160
3.5651,158.179
3.5717,143.089
3.5783,118.321
3.5849,90.257
3.5915,68.004
3.5981,55.440
3.6047,45.833
3.6113,30.982
3.6179,28.291
3.6244,41.063
3.6310,80.655
3.6376,131.813
3.6442,165.098
3.6508,167.524
3.6574,161.099
3.6640,157.861
3.6706,161.668
3.6772,167.208
3.6837,187.122
3.6903,197.093
3.6969,183.947
3.7035,157.003
3.7101,144.072
3.7167,120.857
3.7233,108.848
3.7299,91.059
3.7365,67.887
3.7431,50.537
3.7496,42.608
3.7562,44.337
3.7628,50.044
3.7694,67.383
3.7760,91.188
3.7826,115.223
3.7892,151.614
3.7958,183.089
3.8024,195.230
3.8090,192.385
3.8155,180.460
3.8221,169.370
3.8287,164.863
3.8353,161.133
3.8419,145.684
3.8485,123.729
3.8551,99.758
3.8617,77.000
3.8683,68.181
3.8749,55.620
3.8814,44.075
3.8880,41.258
3.8946,43.347
3.9012,46.243
3.9078,52.606
3.9144,63.386
3.9210,76.494
3.9276,89.108
3.9342,95.818
3.9408,99.288
3.9473,103.526
3.9539,107.115
3.9605,109.505
3.9671,110.647
3.9737,111.120
3.9803,111.720
3.9869,106.338
3.9935,92.679
4.0001,79.714
4.0067,62.263
4.0132,46.385
4.0198,37.845
4.0264,38.415
4.0330,43.979
4.0396,49.083
4.0462,49.759
4.0528,50.667
4.0594,50.721
4.0660,52.656
4.0726,53.951
4.0791,56.246
4.0857,59.026
4.0923,61.431
4.0989,60.986
4.1055,60.667
4.1121,59.899
4.1187,59.667
4.1253,58.964
4.1319,58.667
4.1385,58.028
4.1450,57.667
4.1516,56.964
4.1582,54.511
4.1648,50.870
4.1714,47.184
4.1780,45.304
4.1846,44.382
4.1912,45.376
4.1978,47.845
4.2044,48.763
4.2109,55.917
4.2175,88.754
4.2241,135.996
4.2307,173.887
4.2373,185.189
4.2439,179.577
4.2505,175.381
4.2571,174.924
