Distance_(cm),Gray_Value
0.0000,84.333
0.0067,84.333
0.0134,84.333
0.0202,84.333
0.0269,84.333
0.0336,83.369
0.0403,83.333
0.0471,83.333
0.0538,83.333
0.0605,83.333
0.0672,83.333
0.0740,83.333
0.0807,83.333
0.0874,81.519
0.0941,81.333
0.1009,81.333
0.1076,81.333
0.1143,81.333
0.1210,81.333
0.1278,81.333
0.1345,81.333
0.1412,81.333
0.1479,81.333
0.1547,81.333
0.1614,81.333
0.1681,81.333
0.1748,81.333
0.1816,81.333
0.1883,81.333
0.1950,81.333
0.2017,81.333
0.2085,81.333
0.2152,81.333
0.2219,81.333
0.2286,81.379
0.2354,81.498
0.2421,81.617
0.2488,80.704
0.2555,80.333
0.2623,80.333
0.2690,80.333
0.2757,80.333
0.2824,80.333
0.2892,80.333
0.2959,80.333
0.3026,80.333
0.3093,80.333
0.3161,80.333
0.3228,80.990
0.3295,81.983
0.3362,82.333
0.3430,82.969
0.3497,83.333
0.3564,83.333
0.3631,83.947
0.3699,84.333
0.3766,84.933
0.3833,85.333
0.3900,85.919
0.3968,86.333
0.4035,86.904
0.4102,87.897
0.4169,88.333
0.4237,88.333
0.4304,88.333
0.4371,88.333
0.4438,88.333
0.4506,88.333
0.4573,88.333
0.4640,88.333
0.4707,88.333
0.4775,88.333
0.4842,88.333
0.4909,88.333
0.4976,88.333
0.5044,88.333
0.5111,88.333
0.5178,88.783
0.5245,89.333
0.5313,89.333
0.5380,89.333
0.5447,89.333
0.5514,89.333
0.5582,89.333
0.5649,89.333
0.5716,89.333
0.5783,89.333
0.5851,89.333
0.5918,89.333
0.5985,89.333
0.6052,89.333
0.6120,89.333
0.6187,89.333
0.6254,89.557
0.6321,90.000
0.6389,90.000
0.6456,90.000
0.6523,90.000
0.6590,90.000
0.6658,90.000
0.6725,90.000
0.6792,90.278
0.6859,91.000
0.6927,91.000
0.6994,91.000
0.7061,91.000
0.7128,91.000
0.7196,91.000
0.7263,91.000
0.7330,91.220
0.7397,92.177
0.7465,92.415
0.7532,92.653
0.7599,92.891
0.7666,93.129
0.7734,93.367
0.7801,93.605
0.7868,93.843
0.7935,94.000
0.8003,94.000
0.8070,94.000
0.8137,94.000
0.8204,94.000
0.8272,94.000
0.8339,94.000
0.8406,93.929
0.8473,93.333
0.8541,93.333
0.8608,93.333
0.8675,93.333
0.8742,93.333
0.8810,93.333
0.8877,93.333
0.8944,93.333
0.9011,93.333
0.9079,93.333
0.9146,93.333
0.9213,93.333
0.9280,93.333
0.9348,93.333
0.9415,93.333
0.9482,93.333
0.9549,93.005
0.9617,93.977
0.9684,94.000
0.9751,94.963
0.9818,95.000
0.9886,95.949
0.9953,96.000
1.0020,96.934
1.0087,97.000
1.0155,97.000
1.0222,97.913
1.0289,98.000
1.0356,98.899
1.0424,99.891
1.0491,100.000
1.0558,100.000
1.0625,100.290
1.0693,100.333
1.0760,100.333
1.0827,100.333
1.0894,100.333
1.0962,100.333
1.1029,100.333
1.1096,100.333
1.1163,102.570
1.1231,103.204
1.1298,102.524
1.1365,101.542
1.1432,100.549
1.1500,99.049
1.1567,98.440
1.1634,98.016
1.1701,100.303
1.1769,101.156
1.1836,101.275
1.1903,101.091
1.1970,100.616
1.2038,100.140
1.2105,99.664
1.2172,99.188
1.2239,96.857
1.2307,95.461
1.2374,94.794
1.2441,94.333
1.2508,94.333
1.2576,94.333
1.2643,94.333
1.2710,94.333
1.2777,94.333
1.2845,94.333
1.2912,94.333
1.2979,94.333
1.3046,94.333
1.3114,94.333
1.3181,94.333
1.3248,94.333
1.3315,94.333
1.3383,94.333
1.3450,94.333
1.3517,94.333
1.3584,94.333
1.3652,94.333
1.3719,94.333
1.3786,94.333
1.3853,93.807
1.3921,93.333
1.3988,93.333
1.4055,93.333
1.4122,93.333
1.4190,93.333
1.4257,93.333
1.4324,93.333
1.4391,93.803
1.4459,94.333
1.4526,94.333
1.4593,94.333
1.4660,94.333
1.4728,94.333
1.4795,94.333
1.4862,94.333
1.4929,93.921
1.4997,93.333
1.5064,93.333
1.5131,93.333
1.5198,93.333
1.5266,93.333
1.5333,93.333
1.5400,93.333
1.5467,93.333
1.5535,93.333
1.5602,93.333
1.5669,93.333
1.5736,93.333
1.5804,93.333
1.5871,93.333
1.5938,93.333
1.6005,93.333
1.6073,93.333
1.6140,93.333
1.6207,93.333
1.6274,93.333
1.6342,93.333
1.6409,93.366
1.6476,93.485
1.6543,93.844
1.6611,94.723
1.6678,94.842
1.6745,94.961
1.6812,95.080
1.6880,95.199
1.6947,95.318
1.7014,95.333
1.7081,95.150
1.7149,94.333
1.7216,94.333
1.7283,94.333
