Distance,Intensite
0,7.000
1,7.000
2,7.017
3,6.025
4,6.033
5,7.000
6,6.667
7,6.667
8,6.667
9,6.667
10,7.000
11,7.000
12,7.000
13,7.000
14,7.000
15,7.000
16,7.000
17,7.000
18,7.000
19,7.000
20,7.833
21,7.000
22,7.000
23,7.000
24,7.200
25,7.417
26,7.217
27,7.000
28,7.767
29,7.758
30,7.000
31,7.000
32,7.000
33,7.000
34,6.717
35,6.000
36,6.000
37,6.000
38,6.000
39,5.000
40,5.000
41,6.000
42,6.000
43,6.000
44,6.000
45,6.625
46,6.617
47,6.608
48,6.067
49,6.075
50,6.667
51,6.667
52,7.000
53,7.000
54,7.000
55,7.000
56,7.000
57,7.000
58,7.000
59,7.000
60,7.000
61,7.000
62,7.000
63,7.000
64,7.000
65,7.000
66,7.000
67,7.000
68,7.000
69,7.000
70,7.000
71,7.592
72,7.600
73,7.608
74,7.000
75,7.625
76,8.000
77,8.358
78,8.350
79,8.342
80,8.000
81,8.000
82,7.317
83,7.308
84,8.000
85,8.000
86,8.000
87,8.000
88,8.000
89,8.000
90,8.750
91,7.758
92,7.000
93,7.000
94,7.000
95,7.000
96,6.800
97,7.000
98,7.000
99,7.000
100,7.833
101,8.000
102,8.000
103,8.000
104,7.667
105,7.542
106,7.883
107,7.000
108,7.000
109,7.000
110,7.000
111,7.000
112,7.067
113,8.000
114,8.000
115,8.000
116,7.033
117,7.000
118,7.000
119,8.000
120,8.000
121,7.000
122,7.000
123,7.000
124,8.000
125,8.042
126,8.050
127,8.058
128,8.000
129,7.075
130,8.000
131,8.000
132,8.000
133,8.000
134,8.000
135,8.000
136,8.000
137,8.000
138,8.000
139,8.000
140,7.000
141,7.000
142,7.000
143,7.000
144,7.000
145,7.000
146,7.000
147,7.000
148,8.000
149,8.000
150,8.000
151,8.000
152,8.267
153,8.275
154,8.283
155,8.292
156,8.000
157,8.000
158,7.000
159,7.000
160,7.000
161,7.000
162,7.000
163,8.000
164,8.367
165,8.375
166,8.383
167,8.000
168,8.000
169,8.000
170,7.000
171,7.000
172,7.000
173,7.000
174,7.000
175,7.542
176,7.533
177,7.525
178,7.517
179,7.508
180,8.000
181,8.000
182,8.000
183,8.000
184,8.000
185,8.000
186,8.000
187,8.000
188,8.000
189,8.000
190,8.000
191,7.408
192,8.000
193,8.000
194,8.000
195,8.000
196,7.000
197,7.000
198,7.000
199,7.000
200,7.000
201,7.000
202,8.000
203,9.000
204,9.000
205,9.000
206,9.000
207,8.000
208,8.000
209,7.000
210,7.000
211,7.000
212,7.000
213,7.000
214,7.000
215,7.000
216,7.000
217,7.000
218,8.000
219,8.175
220,8.167
221,8.000
222,8.000
223,7.858
224,8.000
225,8.000
226,8.000
227,8.000
228,8.000
229,8.000
230,7.083
231,7.075
232,8.000
233,8.000
234,8.000
235,8.000
