lambda,alex_rouge,mathilde,a_c,m_e,alex_blanc,alex_bleu,,,,
385,0.001280571,0.002238872,0.001339031,0.002036852,0.001758982,0.001777852,,,,
386,0.001264291,0.002157472,0.000989011,0.002150812,0.001750842,0.001598772,,,,
387,0.001032301,0.002177822,0.001086691,0.002036852,0.001779332,0.001724942,,,,
388,0.001272431,0.002035372,0.001119251,0.002191512,0.001604322,0.001623192,,,,
389,0.001280571,0.002141192,0.001037851,0.002321752,0.001718282,0.001720872,,,,
390,0.001349761,0.002214452,0.000987346,0.002549673,0.001999112,0.001749362,,,,
391,0.001272431,0.002238872,0.001143671,0.002370592,0.001995042,0.001623192,,,,
392,0.001469271,0.002214452,0.001241351,0.002403152,0.001726422,0.001785992,,,,
393,0.001276501,0.002202242,0.001282051,0.002427572,0.001950272,0.001724942,,,,
394,0.001256151,0.002540053,0.001261701,0.002338032,0.001929922,0.001777852,,,,
395,0.001182891,0.002458652,0.001452991,0.002443852,0.001710142,0.001639472,,,,
396,0.001423021,0.002324342,0.001013431,0.002537463,0.001791542,0.001724942,,,,
397,0.001435231,0.002360972,0.001355311,0.002655493,0.001962482,0.001875532,,,,
398,0.001329411,0.002474932,0.001200651,0.003086913,0.001799682,0.001777852,,,,
399,0.001361971,0.002470862,0.001294261,0.003086913,0.001889222,0.001908092,,,,
400,0.001313131,0.002767973,0.001241351,0.003363673,0.001954342,0.001973212,,,,
401,0.001516632,0.002743553,0.001428571,0.003656714,0.001946202,0.001908092,,,,
402,0.001642802,0.002873793,0.001367521,0.004784105,0.001877012,0.001969142,,,,
403,0.001418951,0.002816813,0.001379731,0.03970067,0.002003182,0.001867392,,,,
404,0.001285011,0.002955193,0.001233211,0.165651016,0.002052022,0.002054612,,,,
405,0.001410811,0.003044733,0.001343101,0.015773116,0.002047952,0.002042402,,,,
406,0.001475931,0.003402893,0.001387871,0.008459318,0.001970622,0.002152292,,,,
407,0.001516632,0.003524994,0.001534392,0.020514671,0.002247382,0.002152292,,,,
408,0.001593962,0.003862804,0.001550672,0.009082029,0.002279942,0.002249972,,,,
409,0.001394531,0.004265734,0.001469271,0.008491878,0.002320642,0.002347652,,,,
410,0.001646872,0.005234395,0.001469271,0.00981056,0.002572983,0.002583713,,,,
411,0.001349761,0.005816406,0.001465201,0.011060051,0.002707293,0.003080253,,,,
412,0.001581752,0.006886817,0.001476301,0.012350242,0.003102083,0.003373293,,,,
413,0.002045732,0.008335738,0.001672772,0.014287564,0.003468383,0.003820994,,,,
414,0.001948052,0.0099556,0.001660562,0.015821956,0.003684094,0.003934954,,,,
415,0.001817812,0.011559182,0.001835572,0.018373848,0.004135864,0.004439634,,,,
416,0.002086432,0.014025604,0.001973952,0.020718171,0.004363784,0.005196655,,,,
417,0.002070152,0.016255966,0.002124542,0.022586303,0.004966145,0.005839716,,,,
418,0.001988752,0.019300329,0.002185592,0.025024235,0.005649906,0.006645577,,,,
419,0.002420172,0.023012173,0.002380952,0.028467458,0.006284826,0.007931698,,,,
420,0.002692863,0.027110667,0.002686203,0.031340881,0.007078477,0.008843379,,,,
421,0.002892293,0.030769601,0.003056573,0.034084064,0.008270988,0.00998298,,,,
422,0.003112073,0.037249047,0.003536834,0.038381988,0.00952455,0.011635402,,,,
423,0.003372553,0.043638954,0.003903134,0.042679913,0.010892071,0.013540164,,,,
424,0.003730714,0.05024864,0.004603175,0.046359196,0.012121212,0.015705406,,,,
425,0.004113294,0.057476967,0.005091575,0.050974581,0.013968994,0.017268287,,,,
426,0.004593555,0.067586858,0.005856736,0.056290006,0.016394716,0.020573131,,,,
427,0.004988345,0.076011766,0.006813187,0.060669331,0.018372738,0.022909313,,,,
428,0.005383135,0.088001998,0.007956858,0.065414955,0.021197321,0.026946757,,,,
429,0.006156436,0.102279572,0.00952788,0.071935102,0.024803345,0.030886521,,,,
430,0.006856477,0.117403707,0.010952381,0.078263958,0.028397158,0.035961816,,,,
431,0.007825138,0.132902283,0.012661783,0.083746254,0.032259592,0.041265031,,,,
432,0.008826359,0.152479002,0.014924705,0.091699042,0.037558738,0.047614238,,,,
433,0.00973804,0.171249861,0.016800977,0.104991675,0.042292152,0.053776224,,,,
434,0.011081141,0.192609243,0.018970289,0.242338032,0.048580309,0.060980131,,,,
435,0.012676583,0.222971473,0.022519333,0.968508159,0.056467976,0.070902801,,,,
436,0.014524365,0.258844489,0.026963777,0.35970067,0.066227846,0.082567433,,,,
437,0.016355866,0.291457431,0.03043956,0.126774337,0.074892885,0.093922744,,,,
438,0.018268768,0.327342657,0.034908425,0.125162615,0.085299885,0.106002516,,,,
439,0.021264291,0.377183927,0.041249491,0.1300629,0.100660081,0.125587376,,,,
440,0.023877234,0.415669886,0.047045177,0.133282273,0.114880675,0.142591853,,,,
441,0.026783217,0.457371147,0.054322344,0.137779628,0.131128131,0.162290672,,,,
442,0.031211381,0.505771636,0.064448514,0.143591594,0.154050394,0.1901702,,,,
443,0.035220335,0.536341436,0.072967033,0.146456876,0.173940504,0.213593074,,,,
444,0.03966885,0.562360972,0.083382173,0.15041292,0.195824916,0.238652089,,,,
445,0.046026196,0.582971473,0.097952788,0.155272505,0.223631184,0.270560921,,,,
446,0.053490583,0.594717505,0.114509565,0.160693751,0.252349132,0.301859252,,,,
447,0.0596892,0.57968698,0.126019536,0.160913531,0.270814741,0.31973471,,,,
448,0.063706294,0.54009805,0.132930403,0.157209827,0.275710956,0.32034521,,,,
449,0.072757983,0.522214452,0.149275539,0.163681134,0.295751656,0.338464868,,,,
450,0.080617161,0.500981241,0.160769231,0.167861028,0.308079698,0.347439227,,,,
451,0.085944796,0.463834314,0.164904355,0.168711659,0.307733748,0.339474229,,,,
452,0.090739261,0.422613313,0.166377696,0.169265179,0.300977541,0.322844193,,,,
453,0.095452325,0.395962926,0.166825397,0.171829282,0.294636475,0.311370851,,,,
454,0.097861768,0.373203463,0.163024013,0.173766604,0.285649906,0.294834425,,,,
455,0.098065268,0.345209975,0.152368742,0.174474784,0.267611648,0.26986902,,,,
456,0.097935028,0.32952418,0.142991453,0.177030747,0.254839975,0.251855182,,,,
457,0.097772228,0.321347541,0.135787546,0.181145521,0.245173715,0.24039405,,,,
458,0.093905724,0.306333296,0.124220594,0.17996929,0.231502572,0.224887335,,,,
459,0.088989159,0.293797684,0.112678063,0.17960299,0.216931957,0.211057461,,,,
460,0.087332667,0.288527029,0.106874237,0.182415362,0.211596182,0.206584527,,,,
461,0.083755134,0.278290968,0.101127391,0.181792652,0.204135864,0.20030451,,,,
462,0.080604951,0.267619418,0.096096866,0.181817072,0.197436637,0.194044844,,,,
463,0.079229289,0.258461908,0.093744404,0.182907833,0.194522515,0.1897225,,,,
464,0.078687979,0.249296259,0.092283272,0.181047841,0.191010101,0.187451437,,,,
465,0.078097828,0.241783032,0.091058201,0.184006734,0.18975247,0.184464054,,,,
466,0.07966885,0.233691864,0.091098901,0.187376697,0.188303548,0.181419691,,,,
467,0.080751471,0.226935657,0.0900814,0.189370999,0.186911607,0.177040367,,,,
468,0.081081141,0.220517261,0.088693529,0.19032745,0.182670663,0.171822622,,,,
469,0.083291153,0.220619011,0.087614978,0.193896844,0.182491582,0.16966552,,,,
470,0.083160913,0.218225848,0.084765975,0.196005106,0.178584379,0.163153513,,,,
471,0.082375402,0.217147297,0.081550672,0.194613165,0.173806194,0.157927628,,,,
472,0.081435231,0.216085026,0.077676028,0.193546824,0.169125689,0.152913383,,,,
473,0.080564251,0.21965035,0.074183964,0.193587524,0.164778925,0.148330558,,,,
474,0.077267547,0.218510749,0.068909239,0.186391756,0.159072779,0.142648833,,,,
475,0.077735598,0.227049617,0.068376068,0.187555778,0.159300699,0.143812854,,,,
476,0.076933807,0.232234802,0.066589337,0.185130055,0.157998298,0.142933733,,,,
477,0.077357087,0.245893736,0.066035816,0.188166278,0.161400821,0.147321197,,,,
478,0.079383949,0.25995967,0.067167277,0.193994524,0.167049987,0.152262182,,,,
479,0.081142191,0.274351204,0.068840049,0.201902542,0.172902653,0.158281718,,,,
480,0.082322492,0.284070374,0.069487179,0.210787361,0.176052836,0.162095312,,,,
481,0.085204055,0.297981648,0.071033781,0.235581826,0.180643801,0.166808377,,,,
482,0.087723388,0.316060606,0.073931624,0.280852481,0.189056499,0.173898324,,,,
483,0.092733563,0.336255966,0.077391127,0.358088948,0.20004958,0.183650054,,,,
484,0.098171088,0.360920191,0.081168091,0.461230991,0.210908351,0.193401783,,,,
485,0.104487734,0.38949976,0.085783476,0.607181337,0.223118363,0.205335035,,,,
486,0.108468198,0.405889666,0.087521368,0.674381174,0.231242091,0.211199911,,,,
487,0.113083583,0.427839198,0.090618641,0.657478447,0.238999519,0.219457949,,,,
488,0.118692049,0.455067525,0.094770045,0.588646539,0.252357272,0.231366781,,,,
489,0.124854035,0.482149332,0.098628409,0.520604211,0.264103304,0.242396492,,,,
490,0.131020091,0.507538018,0.102503053,0.497250527,0.277444777,0.253666334,,,,
491,0.136372146,0.532479002,0.106353276,0.493156103,0.29024901,0.265082695,,,,
492,0.143649314,0.56029341,0.110740741,0.441230991,0.304787065,0.278627669,,,,
493,0.151024161,0.59021608,0.116080586,0.402158952,0.320855441,0.293320383,,,,
494,0.157442557,0.615328005,0.120781441,0.376762127,0.333806194,0.305827506,,,,
495,0.165244755,0.63952825,0.125913716,0.355557406,0.34965479,0.318717209,,,,
496,0.174638325,0.672796463,0.133776964,0.332464202,0.36997225,0.336478706,,,,
497,0.183445813,0.70002479,0.139385429,0.308817479,0.387684908,0.351187701,,,,
498,0.190690421,0.718575869,0.144859585,0.286469086,0.40036297,0.364521035,,,,
499,0.198814149,0.740521331,0.150936101,0.267327857,0.416785437,0.376356606,,,,
500,0.207589078,0.760659711,0.157269027,0.251104821,0.433415473,0.390967921,,,,
501,0.216852407,0.778567729,0.162641433,0.238894809,0.449076849,0.403332593,,,,
502,0.224683095,0.795047175,0.168400488,0.234893995,0.463793984,0.416059496,,,,
503,0.232871943,0.808685759,0.172840863,0.233734044,0.476704037,0.427288637,,,,
504,0.240718911,0.818559589,0.177806268,0.234670145,0.489337329,0.437317127,,,,
505,0.247336737,0.828775299,0.182291412,0.241353091,0.502206682,0.446393236,,,,
506,0.255440115,0.839149739,0.187594628,0.251255411,0.515088245,0.458354978,,,,
507,0.261988752,0.846976357,0.190984941,0.261931032,0.526056906,0.465611796,,,,
508,0.272066082,0.858600289,0.196666667,0.279448329,0.540879861,0.477577608,,,,
509,0.27997817,0.866911237,0.201241351,0.293392163,0.554319014,0.487972398,,,,
510,0.288443778,0.874827395,0.205238095,0.303343323,0.566113886,0.497634588,,,,
511,0.293865024,0.880505051,0.209177859,0.312675843,0.574905095,0.504114034,,,,
512,0.301492211,0.888303178,0.213687424,0.32009953,0.588352388,0.514687905,,,,
513,0.309208939,0.892658083,0.216137566,0.320840271,0.597111037,0.52035335,,,,
514,0.314487734,0.897916528,0.219438339,0.318630259,0.605198135,0.529063159,,,,
515,0.32045029,0.901180671,0.222323972,0.314914345,0.614514375,0.534687905,,,,
516,0.326921597,0.905730936,0.226670737,0.307490657,0.624054464,0.541590632,,,,
517,0.335126725,0.912104562,0.23041514,0.296322566,0.635621416,0.551016761,,,,
518,0.338858919,0.914448884,0.232942613,0.285870796,0.641974692,0.554533245,,,,
519,0.345073815,0.917126947,0.234403744,0.276591187,0.64954897,0.55954749,,,,
520,0.351724202,0.922320272,0.237822548,0.263949754,0.658836719,0.566580457,,,,
521,0.357365227,0.924575055,0.241176231,0.25017686,0.666138306,0.571472601,,,,
522,0.363991194,0.928669479,0.243846154,0.24018093,0.673570134,0.578464868,,,,
523,0.368492618,0.93008991,0.244273504,0.23004662,0.678189588,0.5802109,,,,
524,0.37032412,0.931152181,0.245824176,0.221092611,0.682393902,0.582372072,,,,
525,0.376933807,0.934098864,0.247834758,0.211983942,0.689239649,0.588143338,,,,
526,0.381744552,0.936101306,0.25011396,0.202753173,0.695287675,0.591212121,,,,
527,0.386685537,0.938527029,0.252942613,0.197812188,0.701669442,0.595094905,,,,
528,0.39007992,0.939056129,0.253133903,0.1902257,0.703671884,0.598009028,,,,
529,0.395208125,0.940651571,0.255665446,0.182500833,0.71002109,0.601810412,,,,
530,0.39983165,0.941962112,0.257472527,0.176884227,0.713822474,0.604081474,,,,
531,0.401711992,0.941864432,0.256772487,0.177551708,0.716394716,0.605660636,,,,
532,0.406001776,0.943032523,0.258070818,0.204808525,0.721217671,0.607500278,,,,
