lambda,1,2,3,4,5,6,7,8,9,10,11
200.1568973,17.39230769,11.42307692,15.63076923,7.823076923,9.792307692,18.56923077,8.207692308,10.38461538,23.16153846,22.93076923,14.23076923
200.3759475,6.215384615,12.61538462,11.17692308,12.71538462,10.35384615,12.00769231,9.169230769,17.10769231,13.23846154,14.75384615,14.14615385
200.5949882,12.74615385,18.6,7.007692308,11.70769231,4.276923077,13.38461538,19.87692308,13.9,16.33846154,14.98461538,13.84615385
200.8140194,16.62307692,5.523076923,12.09230769,8.284615385,12.06923077,9.723076923,8.276923077,11.8,12.26153846,14.29230769,6.292307692
201.0330411,7.976923077,16.56153846,7.269230769,14.94615385,8.3,6.5,14.09230769,25.80769231,10.1,18.23076923,13.80769231
201.2520534,8.876923077,6.115384615,13.36153846,11.27692308,7.338461538,12.71538462,17.67692308,11.99230769,6.669230769,12.35384615,11.18461538
201.4710561,12.26923077,11.86153846,10.54615385,14.66153846,7.676923077,12.93846154,17.73076923,8.069230769,13.26153846,18.45384615,14.63076923
201.6900493,4.523076923,5.238461538,13.83846154,10.77692308,6.707692308,4.746153846,8.492307692,11.40769231,7.3,21.68461538,6.553846154
201.9090331,10.47692308,13.54615385,11.98461538,8.861538462,18.66153846,14.5,14.76923077,6.384615385,13.43846154,21.17692308,10.66923077
202.1280073,7.646153846,6.284615385,6.930769231,6.307692308,7.253846154,7.507692308,13.55384615,9.592307692,6.884615385,16.56923077,8.138461538
202.346972,8.084615385,4.553846154,15.87692308,14.50769231,8.915384615,12.33076923,10.84615385,4.976923077,10.20769231,15.00769231,12.85384615
202.5659272,4.446153846,12.95384615,10.87692308,12.18461538,8.138461538,1.8,10.23846154,10.27692308,6.576923077,6.915384615,12.72307692
202.784873,13.63846154,11.01538462,4.669230769,11.13846154,13.5,9.976923077,8.992307692,9.569230769,16.41538462,7.053846154,8.5
203.0038092,7.407692308,8.823076923,5.592307692,9.3,9.153846154,5.1,17.33076923,8.130769231,13.49230769,9.684615385,9.130769231
203.2227359,15.56923077,19.16923077,21.48461538,16.21538462,15.14615385,18.06923077,19.45384615,14.23846154,21.40769231,22.73846154,17.99230769
203.441653,12.25384615,7.084615385,12.46153846,10.13846154,4.992307692,6.792307692,6.192307692,10.21538462,7.646153846,10.03076923,18.6
203.6605607,12.26153846,7.946153846,14.7,18.36923077,11.77692308,7.746153846,13.53846154,11.41538462,3,12.28461538,15.63076923
203.8794588,4.653846154,6.538461538,10.66153846,12.43076923,2.661538462,5.576923077,8.569230769,11.40769231,11.8,12.40769231,14.53846154
204.0983474,12.35384615,19.85384615,9.738461538,16.8,10.26153846,16.5,14.86923077,15.28461538,12.11538462,18.45384615,10.78461538
