lambda,1,2,3,4,5,6,7,8,9,10
200.1568973,18.13076923,12.76153846,19.01538462,5.8,8.307692308,15.55384615,16.05384615,9.123076923,14.3,18.94615385
200.3759475,8.992307692,8.6,2.938461538,8.915384615,10.06923077,6.292307692,13.25384615,13.72307692,3.053846154,9.130769231
200.5949882,12.56153846,16.51538462,9.269230769,6.476923077,7,17.25384615,16.11538462,5.415384615,10.19230769,18.23846154
200.8140194,10.77692308,10.60769231,7.723076923,17.20769231,6.407692308,6.038461538,5.953846154,3.684615385,10.56923077,9.546153846
201.0330411,17.31538462,7.007692308,8.069230769,6.946153846,10.08461538,18.26153846,9.161538462,14.62307692,9.4,6.969230769
201.2520534,15.39230769,21.2,6.361538462,2.384615385,8.769230769,2.369230769,9.253846154,11.73076923,12.73846154,8.407692308
201.4710561,20.63076923,15.67692308,16.55384615,12.19230769,16.13076923,17.09230769,15.13076923,10.75384615,18.46153846,13.6
201.6900493,18.53846154,10.06153846,12.76923077,9.615384615,10.3,12.2,20.87692308,10.06923077,14.66923077,6.046153846
201.9090331,16.03076923,10.23846154,6.876923077,9.315384615,11.49230769,15.93846154,17.42307692,15.59230769,18.11538462,10.45384615
202.1280073,19.43846154,4.338461538,15.99230769,13.50769231,12.46923077,17.76153846,12.57692308,8.446153846,6.715384615,9.861538462
202.346972,19.24615385,18.73076923,13.56923077,6.884615385,16.18461538,14.90769231,14.90769231,10.91538462,6.592307692,8.646153846
202.5659272,13.40769231,3.676923077,8.9,9.669230769,17.39230769,12.26153846,7.969230769,5.3,6.192307692,8.061538462
202.784873,3.546153846,11.45384615,14.18461538,13.73076923,10.81538462,7.853846154,13.34615385,6.715384615,10.41538462,11.99230769
203.0038092,10.9,6.669230769,8.484615385,3.684615385,7.623076923,5.569230769,5.8,6.769230769,9.415384615,9.838461538
203.2227359,15.58461538,12.09230769,13.94615385,8.569230769,10.85384615,30.95384615,19.17692308,16.87692308,12.04615385,16.03846154
203.441653,6.653846154,10.87692308,5.730769231,10.32307692,16.52307692,8.492307692,14.49230769,10.10769231,12.4,13.66923077
203.6605607,19.52307692,14.13846154,12.3,15.96923077,11.21538462,18.03846154,15.20769231,8.369230769,7.915384615,7.207692308
203.8794588,14.21538462,10.22307692,14.16923077,11.59230769,5.538461538,7.453846154,15.63846154,1.769230769,9.930769231,14.17692308
204.0983474,15.39230769,9.930769231,18.25384615,5.346153846,11.37692308,20.63846154,28.46153846,12.14615385,9.261538462,11.82307692
204.3172265,4.523076923,5.969230769,6.146153846,8.484615385,6.746153846,2.538461538,7.938461538,9.676923077,7.476923077,3.023076923
204.5360961,15.2,13.47692308,11.68461538,7.961538462,10.83846154,16.39230769,17.24615385,4.792307692,17.79230769,4
204.7549561,6.576923077,10.43846154,18.56153846,11.21538462,8.615384615,8.092307692,4.938461538,6.084615385,12.02307692,12.21538462
204.9738066,17.45384615,19.01538462,14.10769231,6.4,9.123076923,20.10769231,19.95384615,16.86923077,11.36153846,18.30769231
205.1926476,8.253846154,11.23846154,9.461538462,9.776923077,10.33076923,6.630769231,12.31538462,7.492307692,8.8,3.323076923
205.411479,19.08461538,21.87692308,9.215384615,9.776923077,15.7,12.37692308,11.60769231,17.35384615,5.092307692,18.49230769
205.6303009,9.9,15.86923077,17.46153846,1.815384615,10.66923077,6.9,13.86923077,6.092307692,4.969230769,18.18461538
205.8491133,10.80769231,15.39230769,9.615384615,9.646153846,11.5,7.807692308,12.55384615,17.26923077,2.069230769,18.06153846
206.0679161,6.969230769,3.376923077,4.107692308,13.41538462,8.246153846,6.230769231,14.50769231,7.569230769,9.538461538,17.74615385
206.2867093,9.930769231,7.384615385,12.24615385,7.907692308,12.79230769,11.91538462,15.1,13.66923077,5.253846154,10.48461538
206.505493,18,4.130769231,17.21538462,8.876923077,4.223076923,6.453846154,3.953846154,11.41538462,18.67692308,6.353846154
206.7242672,11.4,13.33846154,10.59230769,11.40769231,13.59230769,8.384615385,2.346153846,13.12307692,6.515384615,16.46153846
206.9430318,7.946153846,5.346153846,6.453846154,9.430769231,3.561538462,6.984615385,13.73846154,6.046153846,3.646153846,4.930769231
207.1617868,11.23846154,16.50769231,10.86153846,9.807692308,20.42307692,7.107692308,16.81538462,11.70769231,17.89230769,12.30769231
207.3805323,15.21538462,7.2,1.315384615,9.261538462,6.069230769,8.430769231,7.546153846,7.630769231,5.838461538,8.253846154
207.5992682,13.56923077,4.623076923,7.223076923,15.26153846,14.89230769,17.93846154,8.453846154,13.73846154,7.169230769,4.530769231
207.8179946,7.707692308,12.06923077,8.653846154,5.792307692,12.04615385,5.076923077,13.46923077,10.71538462,4.938461538,8.784615385
208.0367114,16.23076923,12.94615385,22.4,8.053846154,20.93846154,8.861538462,15.75384615,8.861538462,10.80769231,13.42307692
208.2554186,7.953846154,18.16923077,8.938461538,20.56153846,15.35384615,15.39230769,8.361538462,7.484615385,11.44615385,15.77692308
208.4741162,13.96923077,5.807692308,8.669230769,12.91538462,11.50769231,13.73076923,18.24615385,9.061538462,20.52307692,9.438461538
208.6928043,12.3,9.369230769,16.08461538,6.353846154,5.546153846,15.36153846,8.276923077,9.815384615,10.74615385,6.030769231
208.9114828,21.2,8.107692308,10.92307692,5.838461538,3.738461538,16.54615385,13.58461538,11.86153846,11.28461538,12.73846154
209.1301517,5.123076923,14.12307692,13.46153846,2.030769231,6.338461538,14.30769231,10.87692308,1.261538462,9.723076923,12.36923077
209.3488111,12.39230769,19.37692308,16.38461538,12.36923077,16.93076923,16.91538462,16.45384615,10.94615385,10.16923077,6.046153846
209.5674608,10.78461538,8.584615385,10.99230769,10.24615385,16.53846154,14.61538462,16.41538462,9.484615385,10.33846154,13.9
209.786101,17.95384615,18.81538462,11.5,8.330769231,6.2,21.76923077,14.64615385,15.91538462,11.90769231,6.230769231
210.0047316,10.74615385,11.39230769,7.176923077,15.57692308,10.00769231,8.215384615,7.392307692,5.630769231,4.915384615,4.046153846
210.2233526,13.26923077,16.13846154,3.353846154,14.85384615,9.838461538,14,20.99230769,4.438461538,14.08461538,24.01538462
210.441964,4.969230769,7.246153846,5.107692308,6.6,5.315384615,8.823076923,18.44615385,3.630769231,8.107692308,11.95384615
210.6605658,22.84615385,8.846153846,24.73846154,10.53076923,8.992307692,16.67692308,5.207692308,15.49230769,3.246153846,13.65384615
210.879158,7.7,13.78461538,10.31538462,7.646153846,10.26923077,7.861538462,9.592307692,5.261538462,9.676923077,8.369230769
211.0977406,18.69230769,10.70769231,5.7,16.3,14.25384615,12.74615385,6.861538462,9.323076923,15.74615385,10.22307692
