lambda,1,2,3,4,5,6,7,8,9,10
200.1568973,13.98461538,13.60769231,20.26153846,7.876923077,12.18461538,10.67692308,8.815384615,11.33076923,15.05384615,7.861538462
200.3759475,12.74615385,3.415384615,8.392307692,9.223076923,15.95384615,9.323076923,5.153846154,12.36153846,12.08461538,9.8
200.5949882,11.58461538,8.623076923,14.73846154,7.538461538,16.03846154,24.06153846,14.41538462,20.22307692,12.69230769,20.14615385
200.8140194,9.207692308,10.54615385,5.392307692,8.038461538,5.623076923,19.03076923,10.6,9.3,9.715384615,8.138461538
201.0330411,10.96923077,9.153846154,9.4,14.83076923,8.607692308,12.64615385,13.19230769,9.346153846,15.65384615,0.907692308
201.2520534,5.069230769,16.77692308,4.692307692,11.69230769,11.26153846,13.96153846,15.36153846,12.00769231,9.584615385,5.461538462
201.4710561,5.830769231,17.77692308,12.21538462,13.06153846,15.54615385,15.35384615,11.28461538,11.70769231,11.20769231,12.96923077
201.6900493,5.869230769,11.23846154,14.52307692,6.553846154,9.384615385,15.72307692,7.538461538,17.16153846,11.83076923,6.246153846
201.9090331,11.89230769,15.37692308,14.72307692,9.976923077,4.569230769,11.63076923,14.5,20.7,1.076923077,15.72307692
202.1280073,8.246153846,12.67692308,14.43076923,6.6,6.138461538,9.276923077,7.646153846,11.05384615,16.33076923,9.8
202.346972,7.853846154,12.10769231,28.42307692,16.6,21.62307692,11.46923077,21.66923077,12.08461538,6.161538462,10.34615385
202.5659272,11.24615385,12.16923077,7.146153846,12.96923077,15.90769231,5.869230769,18.7,13.73076923,10.64615385,8.969230769
202.784873,12.16153846,12.55384615,7.023076923,9.738461538,13.04615385,12.39230769,7.176923077,8.023076923,17.95384615,16.09230769
203.0038092,18.00769231,2.253846154,15.76153846,9.407692308,7.8,6.592307692,7.676923077,6.138461538,7.115384615,4.1
203.2227359,13.56923077,7.976923077,17.42307692,25.32307692,16.03846154,9.415384615,13.36923077,19.1,11.68461538,26.45384615
203.441653,9.038461538,9.446153846,6.284615385,12.3,5.861538462,13.30769231,16.5,8.538461538,1.815384615,7.876923077
203.6605607,13.62307692,19.13076923,12.97692308,15.81538462,12.14615385,8.569230769,8.053846154,12.33846154,14.00769231,6.138461538
203.8794588,17.46923077,5.723076923,8.138461538,9.023076923,9.884615385,10.62307692,5.630769231,2.661538462,4.592307692,0.669230769
204.0983474,16.16153846,10.46153846,7.907692308,13.37692308,15.44615385,18.72307692,10.63846154,17.39230769,18.45384615,12.96153846
204.3172265,7.615384615,6.038461538,10.8,3.484615385,3.830769231,9.523076923,13.26923077,9.646153846,5.392307692,8.484615385
204.5360961,5.946153846,19.88461538,6.953846154,8.576923077,18.81538462,14.45384615,17.73076923,8.015384615,14.78461538,9.023076923
204.7549561,9.846153846,12.95384615,7.946153846,7.284615385,10.46923077,17.5,4.007692308,13.92307692,9.507692308,7.884615385
204.9738066,16.18461538,6.992307692,7.038461538,14.24615385,14.12307692,20.67692308,11.63846154,18.00769231,10.57692308,11.73846154
205.1926476,7.730769231,9.3,14.28461538,9.930769231,9.469230769,8.830769231,9.4,21.34615385,12.47692308,18.38461538
205.411479,21.37692308,14.44615385,11.82307692,14.41538462,18.61538462,11.7,16.81538462,13.86923077,17.08461538,10.13076923
205.6303009,5.676923077,6.5,15.03076923,10.6,12.66923077,8.330769231,14.30769231,18.06923077,9.915384615,10.30769231
205.8491133,6.376923077,13.08461538,5.838461538,14.8,5.8,9.853846154,9.223076923,14.93846154,12.7,9.861538462
206.0679161,13.90769231,16.96923077,7.738461538,12.26153846,7.9,7.523076923,12.49230769,6.646153846,7.676923077,10.28461538
206.2867093,19.16153846,11.62307692,17.07692308,20.33076923,7.838461538,9.807692308,8.930769231,6.661538462,15.45384615,8.369230769
206.505493,11.23076923,13.16153846,4.9,19.27692308,8.623076923,19.9,13.63076923,8.253846154,9.807692308,9.776923077
206.7242672,12.19230769,15.8,6.853846154,12.57692308,12.62307692,21.17692308,15.81538462,11.25384615,12.28461538,5.738461538
206.9430318,9.8,7.276923077,4.823076923,7.761538462,7.969230769,11.87692308,10.7,11.38461538,7.138461538,5.230769231
207.1617868,15.90769231,26.25384615,10.52307692,5.661538462,9.546153846,12.20769231,14.47692308,8.653846154,3.984615385,12.94615385
207.3805323,17.98461538,3.7,8.653846154,8.476923077,11.51538462,8.807692308,8.507692308,14.38461538,8.146153846,9.876923077
207.5992682,18.48461538,12.37692308,9.330769231,8.4,9.453846154,15.71538462,7.861538462,7.530769231,13.41538462,5.669230769
207.8179946,11.65384615,17.73076923,11.86923077,10.62307692,8.730769231,18.8,12.63846154,7.984615385,10.45384615,4.715384615
208.0367114,7.130769231,13.64615385,11.02307692,14.56153846,13.90769231,18.70769231,17.18461538,11.80769231,7.876923077,14.96153846
208.2554186,8.269230769,11.93076923,13.37692308,11.25384615,11.86153846,12.39230769,8.030769231,15.04615385,10.48461538,18.46153846
208.4741162,18.46923077,14.72307692,8.907692308,9.015384615,11.73846154,12.35384615,15.67692308,16.67692308,16.12307692,8.038461538
208.6928043,9.761538462,11.02307692,14.32307692,12.10769231,13.64615385,14.46923077,5.584615385,10.04615385,12.60769231,5.992307692
208.9114828,6.630769231,20.18461538,25.46153846,7.292307692,11.49230769,16.72307692,14.9,26.56153846,13.33846154,11.83076923
209.1301517,14.68461538,10.36923077,5.446153846,10.09230769,6.138461538,9.684615385,6.607692308,9.953846154,9.123076923,8.023076923
209.3488111,13.96923077,12.47692308,12.67692308,13.45384615,19.06153846,13.42307692,12.52307692,12.4,10.46153846,16
209.5674608,13.05384615,11.53076923,13.93846154,5.030769231,14.53076923,21.08461538,18.04615385,6.169230769,11.83846154,10.81538462
209.786101,9.792307692,10.60769231,11.46923077,16.34615385,12.14615385,10.27692308,20.02307692,13.88461538,11.03076923,18.4
210.0047316,13.43846154,6.792307692,11.08461538,11.77692308,14.06153846,9.261538462,17.46923077,12.41538462,7.115384615,9.023076923
210.2233526,8.107692308,18.63076923,12.97692308,13.86153846,12.13846154,16.40769231,19.50769231,11.03076923,10.67692308,14.13846154
210.441964,8.615384615,10.93076923,4.038461538,6.384615385,10.92307692,9.215384615,6.253846154,11.87692308,11.75384615,4.607692308
210.6605658,6.669230769,16.71538462,18.66153846,10.25384615,13.43846154,10.90769231,9.953846154,10.12307692,13.81538462,12.26153846
210.879158,11.33076923,13.37692308,14.31538462,12.96923077,7.923076923,4.561538462,5.230769231,12.60769231,11.43846154,10.80769231
211.0977406,15.64615385,8.584615385,14.38461538,9.353846154,9.846153846,12.60769231,14.92307692,15.92307692,20.08461538,5.646153846
211.3163136,4.946153846,10.2,11.85384615,15.43076923,7.123076923,5.115384615,4.861538462,9.769230769,3.269230769,10.52307692
211.534877,15.29230769,7.392307692,4.469230769,13.3,7.807692308,8.338461538,11.64615385,16.64615385,11.2,8.738461538
211.7534308,17.76153846,12.36923077,8.346153846,8.923076923,5.353846154,18.2,14.93076923,8.938461538,9.630769231,4.346153846
211.971975,9.607692308,13.67692308,13.96153846,17.56923077,8.623076923,12.89230769,15.86153846,9.723076923,24.45384615,14.24615385
212.1905096,3.8,7.653846154,7.946153846,0,12.68461538,1.515384615,16.83846154,11.68461538,4.715384615,5.4
212.4090345,14.39230769,12.59230769,10.14615385,13.3,19.34615385,13.17692308,15.98461538,8.846153846,11.72307692,12
212.6275499,13.46153846,12.73846154,18.58461538,7.323076923,9.123076923,16.80769231,11.33076923,8.8,8.092307692,7.784615385
212.8460556,12.13076923,12.9,10.10769231,10.93846154,10.68461538,14.63846154,18.76923077,15.44615385,13.25384615,1.323076923
213.0645517,16.03076923,12.20769231,10.33846154,13.66923077,16.24615385,6.792307692,15.64615385,10.96153846,12.73076923,13.53076923
213.2830381,19.56153846,14.46153846,8.892307692,15.81538462,14.08461538,24.10769231,5.053846154,14.32307692,19.63076923,18.40769231
213.501515,15.27692308,9.953846154,6.769230769,13.5,3.484615385,6.507692308,7.476923077,9.523076923,16.45384615,7.130769231
213.7199822,16.74615385,10.44615385,8.8,11.74615385,12.28461538,8.446153846,4.3,6.446153846,14.61538462,9.338461538
213.9384398,17.89230769,7.515384615,12.77692308,6.761538462,2.284615385,10.23076923,8.353846154,14.46153846,12.08461538,11.59230769
214.1568877,16.53076923,10.20769231,17.96153846,7.461538462,6.530769231,7.153846154,10.40769231,19.08461538,14.76153846,11.82307692
214.3753261,24.46153846,20.08461538,16.38461538,15.03846154,7.084615385,11.17692308,13.18461538,18.93846154,10.2,1.323076923
214.5937547,18.92307692,13.27692308,6.115384615,23.96923077,9.146153846,16.11538462,14.16923077,15.00769231,10.91538462,7.215384615
214.8121738,17.96923077,15.30769231,8.969230769,10.95384615,4.861538462,8.753846154,9.361538462,8.176923077,8.384615385,9.769230769
215.0305832,9.923076923,7.807692308,5.838461538,10.5,9.323076923,20.03076923,19.62307692,12.33076923,19.53076923,8.630769231
215.2489829,10.52307692,11.32307692,12.02307692,8.184615385,9.630769231,7.815384615,10.13846154,8.353846154,1.176923077,11.5
215.467373,10.53076923,12.56923077,8.838461538,12.62307692,6.446153846,10.6,20.96923077,5.007692308,13.59230769,14.40769231
215.6857534,8.330769231,7.3,16.10769231,5.807692308,4.7,15.81538462,15.88461538,13.16923077,11.59230769,0.692307692
215.9041242,14.47692308,13.13076923,11.66923077,15.76923077,18.86153846,8.1,16.33076923,11.15384615,10.03076923,17.3
216.1224854,6.407692308,13.42307692,7.4,10.40769231,16.06153846,7.369230769,10.74615385,3.453846154,7.084615385,7.453846154
216.3408368,14.83076923,9.369230769,12.47692308,14.95384615,10.36923077,15.58461538,16.18461538,24.33076923,17.46153846,13.86153846
216.5591787,17.31538462,9.992307692,8.853846154,3.423076923,5.7,14.65384615,4.553846154,16.6,7.907692308,11.87692308
216.7775108,13.78461538,14.65384615,17.40769231,5.546153846,13.62307692,20.36923077,17.04615385,16.32307692,10.78461538,8.230769231
216.9958333,14.15384615,12.62307692,10.37692308,4.092307692,12.20769231,16.78461538,14.44615385,11.33076923,15.18461538,11.56153846
217.2141461,5.3,12.41538462,10.07692308,13.3,11.16923077,9.684615385,6.8,19.03076923,9.730769231,14.86153846
217.4324493,12.45384615,7.4,4.407692308,5.815384615,4.838461538,10.39230769,7.6,8.915384615,11.66153846,6.507692308
217.6507427,10.3,13.73076923,11.71538462,12.44615385,6.723076923,17.43076923,11.24615385,9.961538462,8.084615385,17.51538462
217.8690265,11.10769231,18.95384615,9.984615385,12.00769231,8.184615385,12.65384615,14.05384615,5.176923077,13,6.246153846
218.0873007,9.623076923,10.00769231,8,5.423076923,9.146153846,10.5,8.438461538,12.16153846,9.161538462,14
218.3055651,9.838461538,17.30769231,11.58461538,6.9,6.3,15.72307692,5.576923077,12.31538462,8.869230769,8.369230769
218.5238199,14.06923077,21.33076923,8.853846154,12.14615385,8.8,15.72307692,15.4,11.46153846,15.58461538,12.62307692
218.7420649,12.53076923,14.44615385,6.753846154,13.56923077,6.669230769,12.19230769,6.346153846,12.76153846,7.546153846,14.95384615
218.9603003,8.261538462,11.43846154,9.384615385,17.07692308,15.02307692,10.8,11.3,13.94615385,16.9,13.72307692
219.178526,7.176923077,9.776923077,10.27692308,8.207692308,17.02307692,19.43076923,15.96923077,7.923076923,13.60769231,9.161538462
219.396742,18.18461538,8.538461538,18.63846154,10.26153846,11.95384615,12.42307692,16.80769231,18.23076923,15.86153846,8.553846154
219.6149484,6,8.392307692,8.161538462,10.00769231,8.569230769,10,13.76923077,5.630769231,7.838461538,12.57692308
219.833145,15.46923077,14.4,20.33846154,11.13076923,14.48461538,15.37692308,17.9,13.92307692,10.62307692,16.93076923
220.0513319,11.27692308,15.78461538,12.83846154,9.453846154,10.80769231,5.969230769,8.153846154,3.930769231,15.80769231,5.953846154
220.2695091,18.63076923,6.123076923,18.63846154,9.746153846,16.07692308,13.97692308,15.7,18.22307692,14.87692308,10.73076923
220.4876766,11.05384615,11.96923077,7.315384615,9.230769231,9.561538462,8.907692308,7.884615385,5.907692308,13.07692308,16.03846154
220.7058344,13.72307692,16.40769231,15.71538462,18.32307692,10.38461538,7.684615385,11.50769231,13.22307692,12.78461538,9.053846154
220.9239825,13.43846154,11.58461538,10.33846154,8.969230769,4.638461538,9.2,9.730769231,11.46153846,8.976923077,2.507692308
221.1421209,12.82307692,26.32307692,16.86153846,10.54615385,7.946153846,13.4,9.723076923,21.16153846,16.99230769,15.64615385
221.3602496,1.638461538,14.92307692,6.853846154,9.584615385,6.969230769,13.40769231,10.95384615,4.369230769,11.3,10.70769231
221.5783685,11.97692308,15.24615385,18.00769231,12.23846154,12.00769231,22.36153846,15.65384615,18.24615385,7.169230769,5.330769231
221.7964777,8.907692308,12.38461538,9.715384615,4.1,10.9,7.330769231,12.11538462,14.7,13.54615385,5.484615385
222.0145773,10.18461538,12.9,8.907692308,8.823076923,13.28461538,11.36153846,15.36153846,19.96153846,13.23846154,12.93846154
222.232667,10.03076923,8.438461538,14.46923077,15.7,8.7,9.253846154,15.37692308,15.96153846,13.56923077,8.461538462
222.4507471,22.03076923,13.36923077,19.04615385,6.361538462,11.80769231,17.36923077,12.51538462,5.1,19.89230769,13.86153846
222.6688174,16.82307692,10.05384615,3.023076923,12.35384615,19.7,10.8,9.184615385,6.007692308,13.16923077,15.86153846
222.886878,11.45384615,11.33846154,15.39230769,8.161538462,7.623076923,11.72307692,11.88461538,15.76153846,17.48461538,9.153846154
