lambda,1,2,3,4,5,6,7,8,9,10
200.1568973,11.51538462,15.41538462,17.66153846,16.36153846,18.66153846,13.83846154,18.6,9.053846154,7.792307692,12.82307692
200.3759475,6.007692308,11.10769231,7.423076923,10.76153846,14.20769231,4.523076923,14.93076923,6.192307692,5.146153846,4.884615385
200.5949882,17.78461538,10.85384615,9.576923077,16.46923077,15.77692308,10.76153846,18.76153846,14.55384615,6.538461538,16.23846154
200.8140194,11.02307692,16.95384615,6.792307692,7.369230769,7.861538462,10.88461538,10.94615385,5.130769231,9.707692308,8.392307692
201.0330411,10.03076923,11.58461538,14.66153846,6.807692308,13.45384615,7.9,4.9,14.79230769,10.18461538,11.61538462
201.2520534,7.523076923,3.507692308,8.4,15.15384615,9.438461538,12.26923077,6.892307692,9.738461538,9.523076923,15.59230769
201.4710561,9.015384615,11.44615385,4.830769231,10.96923077,13.95384615,3.015384615,12.96923077,14.85384615,9.646153846,18.61538462
201.6900493,9.015384615,15.61538462,11.76153846,14.34615385,8.515384615,15.22307692,9.123076923,12.92307692,1.569230769,1.246153846
201.9090331,18.39230769,17.36153846,8.107692308,10.03076923,20.53846154,10.82307692,11.10769231,11.34615385,13.23076923,12.51538462
202.1280073,8.146153846,6.992307692,14.93846154,10.23076923,20.43846154,8.230769231,16.99230769,6.084615385,9.353846154,19.26153846
202.346972,11.6,16.23076923,12.16923077,11.60769231,16.99230769,14.56153846,16.73846154,9.923076923,14,13.34615385
202.5659272,5.330769231,5.676923077,7.130769231,4.476923077,16.73846154,3.307692308,10.61538462,3.869230769,3.330769231,5.138461538
202.784873,5.7,18.45384615,15.76923077,8.061538462,13.80769231,13.58461538,11.53846154,14.12307692,9.861538462,11.67692308
203.0038092,5.015384615,9.607692308,9.976923077,8.784615385,7.130769231,3.876923077,9.384615385,11.15384615,6.807692308,6.892307692
203.2227359,14.80769231,26.53076923,19.10769231,12.4,14.22307692,16.82307692,15.23846154,18.60769231,9.346153846,8.592307692
203.441653,3.653846154,10.23846154,10.93846154,11.13846154,8.7,7.615384615,14.43076923,4.223076923,8.930769231,6.453846154
203.6605607,16.6,8.946153846,14.58461538,15.85384615,7.746153846,8.946153846,6.684615385,13.23846154,8.376923077,11.81538462
203.8794588,5.776923077,10.78461538,8.223076923,14.32307692,5.084615385,10.45384615,13.93076923,9.646153846,5.776923077,16.2
204.0983474,8.746153846,7.138461538,23.00769231,11.03846154,12.06923077,8.992307692,13.03846154,1.823076923,10.48461538,3.276923077
204.3172265,4.715384615,11.12307692,4.992307692,13.11538462,10.54615385,11.64615385,5.884615385,6.684615385,3.715384615,14.7
204.5360961,9.2,16.85384615,22.28461538,14.57692308,7.769230769,6.723076923,15.76923077,9.292307692,4.984615385,10.89230769
204.7549561,4.023076923,12.21538462,9,6.930769231,12.16923077,5.984615385,8.361538462,11.12307692,5.315384615,1.892307692
204.9738066,13.80769231,17.53846154,12.50769231,15.88461538,15.86923077,18.94615385,9.846153846,7.923076923,14.59230769,13.54615385
205.1926476,10.98461538,8.561538462,15.93846154,14.72307692,13.36923077,5.207692308,8.392307692,9.369230769,8.961538462,5.484615385
205.411479,13.4,20.01538462,12.91538462,11.56153846,14.43846154,13.1,17.06153846,7.638461538,7.738461538,18.59230769
205.6303009,1.938461538,5.884615385,11.36153846,6.061538462,12.69230769,5.1,12.20769231,8.346153846,3.8,7.9
205.8491133,16.33076923,8.215384615,17.56923077,5.953846154,7.023076923,13.79230769,12.49230769,13.2,10.10769231,8.061538462
206.0679161,11.63846154,16.50769231,13.86923077,5.338461538,12.67692308,5.638461538,15.90769231,14.21538462,7.753846154,7.661538462
206.2867093,15.98461538,12.23846154,10.73076923,19.63846154,9.907692308,10.84615385,14.30769231,10.22307692,8.8,20.96923077
206.505493,5.069230769,9.753846154,10.57692308,7.230769231,10.79230769,12.44615385,7.707692308,9.323076923,7.084615385,10.7
206.7242672,17.98461538,13.31538462,17.43076923,9.153846154,8.946153846,13.96923077,14.76153846,21.80769231,5.469230769,6.776923077
206.9430318,9.415384615,4.769230769,12.13846154,7.515384615,9.576923077,16.77692308,8.984615385,2.584615385,2.715384615,6.838461538
207.1617868,7.346153846,10.03846154,26.21538462,18.46153846,9.461538462,9.223076923,9.938461538,4.223076923,10.79230769,6.646153846
207.3805323,14.13846154,12.8,6.946153846,11.51538462,7.538461538,3.323076923,3.330769231,7.523076923,1.753846154,12.66923077
207.5992682,7.723076923,19.8,4.676923077,13.52307692,10.39230769,6.938461538,13.35384615,7.838461538,10.96923077,5.492307692
207.8179946,9.746153846,10.14615385,7.615384615,7.738461538,5.461538462,8.961538462,10.44615385,2.976923077,7.5,6.746153846
208.0367114,8.123076923,7.584615385,9.392307692,18.30769231,13.28461538,10.28461538,10.8,12.26153846,13.19230769,11.90769231
208.2554186,3.784615385,6.615384615,11.5,8.615384615,17.06923077,5.646153846,2.076923077,3.1,2.630769231,15.57692308
208.4741162,8.561538462,13.88461538,8.707692308,5.946153846,9.307692308,13.91538462,14.50769231,10.4,8.369230769,21.16923077
208.6928043,5.953846154,11.47692308,12.33846154,5.846153846,9.715384615,14.13846154,5.230769231,11.43846154,4.169230769,16.3
208.9114828,12.66153846,14.50769231,11.83846154,2.984615385,13.34615385,15.42307692,10.46923077,7.792307692,18.63846154,16.35384615
209.1301517,10.83076923,7.892307692,6.246153846,3.846153846,8.538461538,4.1,15.10769231,8.538461538,6.869230769,3.838461538
209.3488111,9.869230769,15.67692308,16.55384615,4.830769231,13.10769231,10.16923077,14.81538462,16.63846154,9.884615385,11.56153846
209.5674608,9.938461538,7.9,10.49230769,15.67692308,8.630769231,6.130769231,7.976923077,9.453846154,4.892307692,17.20769231
209.786101,11.17692308,14.96923077,16.32307692,14.53846154,15.56153846,4.692307692,7.484615385,10.88461538,5.338461538,11.60769231
210.0047316,7.569230769,7.584615385,2.907692308,9.838461538,17.13846154,10.7,14.9,13.46923077,7,12.53846154
210.2233526,12.68461538,11.17692308,9.169230769,9.346153846,17.43846154,12.25384615,10.17692308,14.79230769,4.584615385,14.85384615
210.441964,6.107692308,4.830769231,10.56923077,16.30769231,13.63076923,5.361538462,9.476923077,9.030769231,4.907692308,9.661538462
210.6605658,11.5,11.36153846,10.4,9.969230769,18.76153846,9.923076923,10.74615385,16.48461538,7.961538462,18.00769231
210.879158,5.546153846,16.50769231,17.63076923,6,13.23076923,12.48461538,11.36153846,8.292307692,3.930769231,6.592307692
211.0977406,8.215384615,11.85384615,9.415384615,14.07692308,18.31538462,8.307692308,16.33846154,13.74615385,12.41538462,7.107692308
211.3163136,7.161538462,9.438461538,16.78461538,9.246153846,6.738461538,8.576923077,3.707692308,3.876923077,1.692307692,16.2
211.534877,17.07692308,9.376923077,21.03076923,12.63846154,20.93846154,5.476923077,16.01538462,8.638461538,15.32307692,21.96153846
211.7534308,3.261538462,11.93846154,8.630769231,12.09230769,11.03846154,4.576923077,7.938461538,3.915384615,5.7,13.40769231
211.971975,5.423076923,11.33076923,10.14615385,14.37692308,9.4,5.053846154,12.9,20.43846154,10.93076923,12.79230769
212.1905096,8.8,4.238461538,5.846153846,4.969230769,2.769230769,9.346153846,9.446153846,8.969230769,4.876923077,8.092307692
212.4090345,12.41538462,13.18461538,15.55384615,5.015384615,12.73846154,6.853846154,14.24615385,7.461538462,9.230769231,19.76153846
212.6275499,2.153846154,7.407692308,17.28461538,11.82307692,8.969230769,11.65384615,12.80769231,9.692307692,6.769230769,3.207692308
212.8460556,8.907692308,14.08461538,5.884615385,11.10769231,7.484615385,7.623076923,12.76923077,9.330769231,12.93076923,7.953846154
213.0645517,6.653846154,6.469230769,11.92307692,10.27692308,6.738461538,14.73076923,7.923076923,7.692307692,3.5,12.15384615
213.2830381,7.769230769,11.87692308,16.28461538,13.18461538,21.32307692,7.338461538,9.615384615,7.830769231,6.284615385,8.338461538
213.501515,2.538461538,8.469230769,6.015384615,13.63076923,12.80769231,7.369230769,7.392307692,7.784615385,9.546153846,3.2
213.7199822,6.746153846,11.97692308,15.06153846,7.023076923,9.238461538,8.515384615,14.25384615,12.23076923,13.36153846,11.19230769
213.9384398,9.930769231,13.51538462,13.32307692,12.23846154,8.230769231,11.02307692,7.953846154,10.03846154,6.638461538,13.81538462
214.1568877,10.88461538,5.569230769,19.38461538,15.14615385,12.17692308,12.22307692,11.31538462,10.83846154,9.184615385,15.36923077
214.3753261,13.4,10.5,14.08461538,11.58461538,18.43846154,7.692307692,7.653846154,17.93076923,6.384615385,14.74615385
214.5937547,16.69230769,12.49230769,10.98461538,14.98461538,13.06153846,12.27692308,5.992307692,9.953846154,8.892307692,6.930769231
214.8121738,11.15384615,13.59230769,14.19230769,19.76153846,9.907692308,6.161538462,13.85384615,7.423076923,11.52307692,9.361538462
215.0305832,10.61538462,8.538461538,11.83076923,16.16153846,14.15384615,6.776923077,7.815384615,16.84615385,15.24615385,14.06153846
215.2489829,11.40769231,7.038461538,14.73076923,11.23846154,12.63846154,4.638461538,6.938461538,7.576923077,9.776923077,6.784615385
215.467373,4.938461538,18.51538462,10.76153846,12.13076923,16.03846154,11.09230769,8.007692308,12.10769231,9.746153846,21.66153846
215.6857534,9.653846154,6.4,5.1,4.084615385,5,9.738461538,8.938461538,8.638461538,4.746153846,16.44615385
215.9041242,18.36153846,9.292307692,13.17692308,22.64615385,7.038461538,16.80769231,14.33846154,10.86153846,9.846153846,8.676923077
216.1224854,5.407692308,9.961538462,4.369230769,7.2,8.007692308,12.25384615,8.215384615,9.346153846,6.146153846,7.753846154
216.3408368,15.68461538,20.6,11.89230769,22.13846154,8.915384615,7.584615385,18.11538462,22.30769231,17.83076923,22.56153846
216.5591787,8.023076923,5.830769231,15.1,9.423076923,13.11538462,14.16923077,6.092307692,10.61538462,8.784615385,13.5
216.7775108,4.615384615,12.53846154,19.07692308,20.74615385,9.361538462,4.138461538,16.98461538,8.884615385,13.01538462,13.54615385
216.9958333,13.81538462,5.4,8.2,10.33846154,8.476923077,14.88461538,20.07692308,7.069230769,9.446153846,14.75384615
217.2141461,13.23846154,14.45384615,21.13076923,9.6,5.623076923,3.923076923,9.384615385,11.53846154,12.66153846,6.838461538
217.4324493,21.36153846,2.961538462,5.115384615,16.04615385,10.59230769,8.476923077,10.94615385,11.1,5.738461538,4.615384615
217.6507427,9.653846154,4.523076923,13.12307692,11.66923077,9.430769231,8.230769231,21.6,10.45384615,9.746153846,10.4
217.8690265,11.09230769,12.42307692,10.73846154,7.684615385,9.592307692,7.261538462,8.153846154,4.307692308,7.938461538,8.784615385
218.0873007,15.86153846,8.469230769,12.22307692,11.17692308,16.72307692,11.97692308,18.3,6.869230769,10.35384615,14.24615385
218.3055651,8.946153846,7.176923077,12.03076923,6.776923077,12.56153846,10.17692308,14.23076923,10.44615385,4.123076923,15.10769231
218.5238199,15.34615385,14.66153846,15.08461538,17.81538462,17.10769231,11.24615385,21.43846154,18.35384615,13.4,17.48461538
218.7420649,11.52307692,7.584615385,10.44615385,12.18461538,10.14615385,8.907692308,11.28461538,6.984615385,5.9,14.3
218.9603003,15.7,10.45384615,11.48461538,17.04615385,15.16153846,6.223076923,11.63846154,7.123076923,10.87692308,8.338461538
219.178526,11.13076923,15.41538462,4.7,18.73076923,4.4,7.261538462,10.20769231,5.061538462,8.623076923,1.492307692
219.396742,6.553846154,15.75384615,20.67692308,15.18461538,11.93076923,13.63846154,11.97692308,13.6,13.68461538,7.630769231
219.6149484,2.530769231,9.792307692,12.73846154,4.884615385,9.630769231,3.592307692,14.90769231,8.423076923,10.66923077,13.23846154
219.833145,10.01538462,12.72307692,14.31538462,19.94615385,12.91538462,11.91538462,9.930769231,6.284615385,16.25384615,11.42307692
220.0513319,3.084615385,9.384615385,15.73076923,4.184615385,3.730769231,3.469230769,1.715384615,7.338461538,12.74615385,10.99230769
220.2695091,7.761538462,9.084615385,16.48461538,14.76153846,12.26153846,10.36153846,12.68461538,14.4,9.046153846,20.46923077
220.4876766,9.461538462,9.746153846,10.17692308,12.76153846,9.384615385,9.561538462,7.323076923,11.71538462,12.9,9.430769231
220.7058344,3.138461538,5.730769231,6.530769231,5.884615385,21.40769231,13.44615385,9.761538462,6.761538462,5.369230769,7.538461538
220.9239825,10.23846154,16.65384615,6.446153846,5.246153846,10.60769231,6.169230769,6.115384615,9.446153846,4.730769231,3.546153846
221.1421209,12.91538462,12.52307692,8.215384615,14.37692308,17.93846154,7.138461538,10.61538462,10.13846154,10.5,7.753846154
221.3602496,12.3,9.661538462,5.276923077,4.923076923,12.36153846,7.638461538,4.715384615,4.638461538,11.06153846,8.284615385
221.5783685,10.82307692,9.8,16.59230769,12.23846154,13.36153846,9.630769231,9.661538462,8.753846154,8.553846154,14.16153846
221.7964777,5.746153846,10.46923077,10.70769231,11.89230769,13.52307692,13.72307692,8.453846154,8.292307692,7.107692308,7.584615385
222.0145773,10.63076923,13.69230769,11.23076923,8.215384615,10.76153846,9.769230769,12.02307692,7.223076923,10.26153846,6.269230769
