lambda,1,2,3,4,5,6,7,8,9,10,11
200.1568973,11.04615385,7.207692308,17.6,12.5,12.32307692,9.330769231,11.57692308,12.14615385,12.78461538,23.95384615,10.96153846
200.3759475,8.469230769,11.23076923,13.71538462,2.338461538,8.238461538,2.330769231,6.076923077,8.676923077,5.576923077,3.207692308,7.761538462
200.5949882,7.738461538,3.9,5.115384615,17.83076923,16.01538462,19.19230769,14.08461538,10.57692308,20.86923077,24.92307692,6.823076923
200.8140194,9.4,8.976923077,9.607692308,15.86153846,8.038461538,5.653846154,12.24615385,9.653846154,8.330769231,11.9,12.44615385
201.0330411,10.03846154,11.56153846,8.992307692,8.8,7.661538462,11.39230769,7.046153846,13.6,9.553846154,10.47692308,12.95384615
201.2520534,5.469230769,9.246153846,8.738461538,9.3,13.71538462,12.14615385,6.146153846,9.261538462,7.276923077,22.29230769,7.853846154
201.4710561,14.36923077,9.223076923,17,7.507692308,11.74615385,7.861538462,6.661538462,11.1,10.06153846,19.12307692,6.792307692
201.6900493,11.93076923,7.384615385,7.315384615,8.676923077,3.7,7.476923077,10.06153846,7.3,8.353846154,5.715384615,7.607692308
201.9090331,11.17692308,5.423076923,9.646153846,13.27692308,3.869230769,16.21538462,9.561538462,10.56923077,13.33076923,20.13076923,8.515384615
202.1280073,12.40769231,7.4,13.63846154,10.03076923,10.16153846,8.238461538,12.46153846,11.35384615,14.07692308,9.946153846,11.17692308
202.346972,9.161538462,5.846153846,6.423076923,9.238461538,19.03846154,15.55384615,8.223076923,6.961538462,6.823076923,11.5,12.17692308
202.5659272,9.692307692,3.7,2.607692308,10.30769231,11.8,5.115384615,11.39230769,7.938461538,12.2,7.676923077,6.723076923
202.784873,9.092307692,9.092307692,11.76153846,11.8,11.15384615,14.26923077,8.184615385,8.1,7.146153846,9.569230769,8.846153846
203.0038092,10.44615385,7.215384615,5.392307692,13.11538462,0.423076923,2.8,8.030769231,10.62307692,2.953846154,15.07692308,7.869230769
203.2227359,20.1,10.93076923,9.123076923,11.36153846,7.084615385,21.75384615,23.16153846,7.830769231,18.97692308,22.59230769,15.93846154
203.441653,7.561538462,11.00769231,8.907692308,5.615384615,6.907692308,9.8,5.607692308,6.015384615,3.761538462,5.338461538,4.646153846
203.6605607,4.407692308,5.276923077,18.36923077,8.646153846,10.68461538,17.96923077,1.915384615,9.215384615,8.361538462,11.42307692,2.861538462
203.8794588,14.03076923,0.584615385,7.323076923,8.530769231,16.08461538,12.63076923,5.238461538,10.26923077,13.08461538,8,4.446153846
204.0983474,12.28461538,12.76153846,12.29230769,17.16153846,11.42307692,19.16923077,7.415384615,11.50769231,17.57692308,12.13076923,10.23076923
204.3172265,11.07692308,7.515384615,2.353846154,6.007692308,8.915384615,7.238461538,5.715384615,7.892307692,4.684615385,10.28461538,6.892307692
204.5360961,7.2,12.88461538,6.169230769,8.769230769,9.8,15.41538462,13.95384615,10.77692308,10.36923077,12.70769231,13.4
204.7549561,6.923076923,8.623076923,6.123076923,1.423076923,10.01538462,18.54615385,6.607692308,6.630769231,7.292307692,15.00769231,6.738461538
204.9738066,6.1,6.092307692,8.653846154,8.2,11.9,16.17692308,9.684615385,9.638461538,9.446153846,10.99230769,8.907692308
205.1926476,8.384615385,6.538461538,8.176923077,11.98461538,5.407692308,8.723076923,5.838461538,11.46923077,4.753846154,10.49230769,14.10769231
205.411479,11.45384615,10.95384615,11.76923077,8.923076923,14.71538462,13.32307692,10.86923077,10.96153846,18.03846154,13.06153846,2.915384615
205.6303009,10.83846154,5.707692308,10.04615385,6.176923077,16.26153846,3.223076923,5.8,7.223076923,10.64615385,4.723076923,7.961538462
205.8491133,14.52307692,10.77692308,11.13846154,13.3,6.376923077,9.123076923,5.238461538,4.907692308,8.861538462,13.99230769,18.88461538
206.0679161,5.846153846,9.707692308,7.476923077,6.369230769,4.753846154,8.976923077,7.007692308,13.78461538,15.27692308,9.153846154,2.546153846
206.2867093,16.34615385,11.87692308,12.94615385,11.57692308,12.04615385,14.33846154,6.353846154,7.076923077,14.43076923,10.53846154,15.89230769
206.505493,16.6,2.361538462,11.88461538,12.8,10.91538462,11.93076923,8.469230769,8.069230769,5.061538462,10.00769231,9.361538462
206.7242672,12.33846154,8.684615385,9.207692308,7.738461538,14.39230769,16.26923077,14.1,13.07692308,14.17692308,5.984615385,11.59230769
206.9430318,7.246153846,7.876923077,9.646153846,12.9,12.02307692,13.2,10.85384615,10.10769231,12.45384615,9.346153846,5.476923077
207.1617868,17.58461538,15.03846154,11.68461538,10.89230769,15.83076923,3.161538462,15.23846154,9.469230769,12.05384615,15.16923077,11.69230769
207.3805323,6.815384615,9.4,6.992307692,10.63076923,6.338461538,11.39230769,4.638461538,10.40769231,12.23846154,4.930769231,7.553846154
207.5992682,11.11538462,11.56153846,10.26923077,18.55384615,8.884615385,9.161538462,16.6,8.784615385,13.01538462,14.95384615,15.16923077
207.8179946,13.02307692,5.238461538,9.176923077,7.869230769,7.692307692,17.31538462,10.29230769,14.71538462,7.861538462,9.376923077,3.138461538
208.0367114,8.092307692,9.123076923,10.93846154,8.630769231,12.80769231,21.44615385,9,10.02307692,16.13076923,13.98461538,11.43846154
208.2554186,9.076923077,12.43076923,12.85384615,5.892307692,15.70769231,8.053846154,8.092307692,9.592307692,6.215384615,11.64615385,7.830769231
208.4741162,16.98461538,11.61538462,10.02307692,11.93846154,16.11538462,13.55384615,12.04615385,10.78461538,13.47692308,10.63846154,7.007692308
208.6928043,8.761538462,4.253846154,9.461538462,11.08461538,9.323076923,8.569230769,4.423076923,5.776923077,10.99230769,8.923076923,12.47692308
208.9114828,12.89230769,18.17692308,16.83846154,19.00769231,12.53076923,17.51538462,10.91538462,17.06153846,13.6,11.83846154,9.046153846
209.1301517,10.50769231,11.45384615,13.27692308,12.56153846,9.707692308,12.01538462,9.915384615,5.892307692,9.376923077,15.91538462,12.28461538
209.3488111,9.076923077,5.230769231,7.338461538,11.63846154,9.423076923,11.59230769,20.11538462,10.12307692,16.27692308,8.369230769,14.08461538
209.5674608,7.492307692,2.5,5.115384615,12.76923077,19.6,12.53076923,10.6,5.469230769,8.876923077,5.984615385,13.92307692
209.786101,22.12307692,12.50769231,5.630769231,16.37692308,11.01538462,16.33076923,3.915384615,11.83846154,13.36153846,19.99230769,9.346153846
210.0047316,8.046153846,11.9,8.9,11.70769231,9.723076923,12.72307692,6.453846154,7.461538462,13.36923077,11.93076923,9.053846154
