lambda,1,2,3,4,5,6,7,8,9,10,11
200.1568973,14.68461538,12.54615385,7.346153846,22.16923077,11.9,15.56923077,13.45384615,4.4,15.69230769,20.78461538,
200.3759475,13.86923077,12.96153846,13.13076923,18.96923077,15.86923077,5.923076923,12.76153846,12.2,13.13076923,17.16153846,
200.5949882,15.48461538,17.14615385,15.53846154,24.43076923,21.46153846,17.73076923,19.74615385,12.91538462,14.35384615,12.53076923,
200.8140194,7.115384615,14.6,12.25384615,17.8,12.73076923,10.76153846,10.31538462,7.476923077,10.97692308,4.669230769,
201.0330411,8.853846154,11.70769231,18.83846154,13.31538462,10.98461538,12.23846154,8.284615385,16.14615385,11.02307692,15.93076923,
201.2520534,17.52307692,9.638461538,13.83076923,12.04615385,9.330769231,12.82307692,8.353846154,20.50769231,5.315384615,12.11538462,
201.4710561,12.65384615,11.25384615,14.50769231,17.48461538,15.12307692,9.007692308,15.27692308,13.60769231,28.47692308,13.33076923,
201.6900493,7.415384615,15.45384615,9.7,20.73076923,14.96153846,7.838461538,13.53846154,8.738461538,6.753846154,20.66153846,
201.9090331,18.86153846,13.46153846,23.19230769,23.03076923,13.24615385,14.83076923,9.807692308,13.62307692,15.67692308,10.11538462,
202.1280073,12.56153846,8.476923077,12.66923077,16.56923077,7.1,12.6,12.48461538,15.73076923,9,9.646153846,
202.346972,25.26153846,22.16923077,16.16923077,8.561538462,7.407692308,14.02307692,16.32307692,10.05384615,15.24615385,7.376923077,
202.5659272,15.79230769,13.02307692,12.61538462,12.55384615,19,9.023076923,14.72307692,13.20769231,10.43846154,13.28461538,
202.784873,16.51538462,15.7,12.51538462,16.46153846,15.21538462,11.6,17.65384615,12.26923077,13.01538462,9.615384615,
203.0038092,9.853846154,4.838461538,13.27692308,8.123076923,18.90769231,9.630769231,17.48461538,6.423076923,7.284615385,19.63076923,
203.2227359,24.52307692,16.62307692,3.907692308,14.46923077,19.17692308,12.06923077,11.96153846,11.1,9.392307692,17.63076923,
203.441653,12.64615385,6.023076923,14.36153846,12.6,9.2,5.415384615,15.82307692,11,15.61538462,11.58461538,
203.6605607,14.95384615,16.06923077,20.33076923,17.56923077,25.97692308,13.65384615,18.41538462,6.353846154,16.35384615,17.86923077,
203.8794588,11.76923077,10.19230769,8.423076923,14.03076923,22.49230769,9.053846154,10.69230769,12.27692308,7.4,9.561538462,
204.0983474,15.95384615,8.323076923,21.66923077,11.50769231,15.99230769,13.27692308,21.04615385,17.58461538,15.68461538,19.66923077,
204.3172265,12.80769231,6.946153846,2.438461538,14.46923077,13.7,11.61538462,13.47692308,7.946153846,11.89230769,12.83846154,
204.5360961,17.07692308,10.66153846,13.56153846,15.3,12.70769231,9.492307692,11.24615385,15.88461538,14.40769231,17.36923077,
204.7549561,11.63076923,11.04615385,4.9,17.43076923,14.54615385,7.884615385,14,14.73846154,16.15384615,20.06153846,
204.9738066,17.72307692,15.34615385,22.46153846,9.430769231,10.02307692,14.09230769,20.24615385,11.43846154,17.9,21.01538462,
205.1926476,11.68461538,15.37692308,19.17692308,10.89230769,17.46923077,11.16923077,8.115384615,13.46923077,6.038461538,16.08461538,
205.411479,18.90769231,20.10769231,11.87692308,22.34615385,23.11538462,14.1,20.36923077,13.01538462,12.33846154,15.46153846,
205.6303009,22.42307692,8.707692308,14.18461538,19.84615385,11.9,10.81538462,13.52307692,10.21538462,11.25384615,11.86923077,
205.8491133,16.30769231,16.28461538,12.40769231,22.15384615,9.630769231,14.33846154,13.22307692,21.30769231,21.65384615,6.538461538,
206.0679161,17.84615385,8.823076923,13.48461538,6.838461538,12,6.469230769,18.11538462,17.76153846,20.68461538,9.784615385,
206.2867093,15.30769231,20.16153846,9.992307692,11.36153846,17.23076923,12.70769231,14.95384615,9.115384615,15.89230769,15.25384615,
206.505493,23.16923077,1.830769231,12,13.43076923,10.84615385,9.1,8.384615385,12.64615385,14.53076923,8.653846154,
206.7242672,12.49230769,10.05384615,8.8,12.40769231,4.538461538,15.75384615,6.646153846,8.161538462,15.6,13.01538462,
206.9430318,4.669230769,12.83846154,14.34615385,5.769230769,18.07692308,5.484615385,9.715384615,12.8,13.55384615,17.53076923,
207.1617868,21.22307692,7.184615385,11.96153846,16.40769231,16.8,15.03846154,12.54615385,11.33076923,12.02307692,28.61538462,
207.3805323,13.36923077,9.084615385,16.86923077,13.06923077,11.99230769,16.62307692,14.73076923,4.815384615,11.55384615,8.823076923,
207.5992682,8.446153846,17.84615385,15.56923077,24.83076923,13.68461538,13.45384615,8.323076923,8.969230769,15.86923077,11.76153846,
207.8179946,8.146153846,10.08461538,11.5,8.846153846,12.60769231,6.053846154,8.246153846,16.49230769,8.146153846,19.98461538,
208.0367114,9.576923077,9.384615385,8.507692308,21.24615385,11.58461538,16.33076923,11.16153846,12.46153846,17.28461538,14.21538462,
208.2554186,13.11538462,6.923076923,8.853846154,17.34615385,16.41538462,8.823076923,11.20769231,11.09230769,19.17692308,13.36153846,
208.4741162,19.66923077,7.476923077,13.58461538,4.376923077,17.63076923,17.50769231,15.74615385,10.20769231,18.13076923,21.34615385,
208.6928043,17.35384615,10.2,20.95384615,7.123076923,16.58461538,19.8,14.41538462,17.39230769,12.69230769,1.438461538,
208.9114828,15.3,20.54615385,17.47692308,17.61538462,15.68461538,12.38461538,9.923076923,19.46923077,13.70769231,17.63076923,
209.1301517,12.27692308,9.715384615,6.615384615,14.00769231,7.646153846,9.261538462,6.653846154,18.16923077,16.11538462,13.26153846,
209.3488111,14.82307692,14.78461538,9.223076923,13.55384615,17.03076923,20.76923077,11.68461538,10.23846154,20.67692308,18.28461538,
209.5674608,11.92307692,4.707692308,12.63076923,17.23076923,10.81538462,14.42307692,10.43846154,6.730769231,14.48461538,7.607692308,
209.786101,18.08461538,14.60769231,17.66923077,10.93076923,11.88461538,11.35384615,15.26153846,17.88461538,18.64615385,18.13076923,
210.0047316,18.20769231,11.27692308,11.36923077,6.861538462,13.42307692,18.34615385,9.884615385,7.338461538,11.05384615,15.1,
210.2233526,13.53076923,12.45384615,14.73846154,18.26153846,18.10769231,10.23076923,16.9,13.00769231,16.11538462,16.73076923,
210.441964,9.446153846,14.20769231,12.55384615,9.792307692,11.03076923,13.56923077,11.18461538,11.13076923,12.56153846,17.36153846,
210.6605658,11.56153846,20.90769231,8.015384615,11.55384615,13.1,9.907692308,24.98461538,11.53846154,7.130769231,16.07692308,
210.879158,19.60769231,11.64615385,11.52307692,12.04615385,16.40769231,11.1,14.35384615,10.18461538,13.93846154,16.64615385,
211.0977406,21.60769231,14.24615385,18.22307692,19.53076923,13.57692308,7.776923077,16.33076923,8.846153846,14.02307692,17.30769231,
